OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.4058,0.4065,0.4052,0.4056,1092118.0,443095.5256,501,387058.0,157041.9441,202302
0.4055,0.4056,0.4042,0.4046,1749458.0,708573.0864,970,637822.0,258321.3285,202302
0.4045,0.4054,0.4043,0.405,1099628.0,445094.8137,590,426910.0,172796.373,202302
0.4049,0.4049,0.4036,0.4042,1336082.0,540078.2242,753,436922.0,176628.9063,202302
0.4041,0.4049,0.4039,0.4048,1065655.0,431054.702,556,536283.0,216934.9126,202302
0.4047,0.4049,0.4036,0.4039,827892.0,334728.9538,476,253711.0,102592.2251,202302
0.4038,0.4044,0.4032,0.404,1631533.0,659124.4114,778,494727.0,199801.6959,202302
0.404,0.4045,0.4036,0.4041,2118389.0,855885.8581,806,716719.0,289562.5468,202302
0.4041,0.4044,0.4032,0.4037,1712429.0,691393.1575,791,575601.0,232371.0453,202302
0.4037,0.4042,0.4031,0.4032,1681029.0,678604.1626,708,537383.0,216997.3428,202302
0.4032,0.4034,0.403,0.4032,728030.0,293559.1906,422,384001.0,154838.7887,202302
0.4031,0.4034,0.4028,0.403,1167263.0,470509.846,515,408317.0,164582.295,202302
0.403,0.4032,0.4024,0.4028,1456140.0,586585.1854,640,489200.0,197054.6435,202302
0.4027,0.4029,0.4024,0.4029,1119363.0,450670.3904,462,465475.0,187414.5011,202302
0.4029,0.4033,0.4023,0.4033,1351821.0,544361.9058,672,615013.0,247674.157,202302
0.4033,0.4036,0.4026,0.4029,1593487.0,642407.8561,730,719756.0,290217.5991,202302
0.4028,0.4034,0.4026,0.4029,1094036.0,440876.9673,616,581986.0,234521.7934,202302
0.4028,0.4034,0.4028,0.403,898158.0,362069.4764,539,430538.0,173562.8649,202302
0.4029,0.4031,0.4022,0.4023,961242.0,387010.3721,561,243428.0,98020.6081,202302
0.4023,0.4025,0.4012,0.4024,2594134.0,1043026.4072,1253,1025227.0,412179.306,202302
0.4023,0.4027,0.4022,0.4026,1595409.0,642087.7309,796,510224.0,205347.809,202302
0.4026,0.4029,0.4023,0.4027,1941619.0,781760.1647,804,1146400.0,461572.1274,202302
0.4026,0.4027,0.4024,0.4025,660468.0,265883.8953,346,262261.0,105583.548,202302
0.4025,0.4027,0.402,0.4021,1010557.0,406637.0718,371,499762.0,201090.5987,202302
0.402,0.402,0.4011,0.4012,1322391.0,530968.3295,581,573851.0,230393.0996,202302
0.4011,0.4016,0.4007,0.4013,1374998.0,551719.2917,659,647582.0,259856.923,202302
0.4012,0.4023,0.4012,0.4023,761808.0,306121.3628,383,617215.0,248012.229,202302
0.4022,0.4025,0.4021,0.4025,663688.0,267021.4546,389,416900.0,167731.1757,202302
0.4024,0.4027,0.4022,0.4026,632776.0,254698.1889,412,433216.0,174379.4072,202302
0.4026,0.4026,0.402,0.4025,717308.0,288578.2309,380,403446.0,162303.2284,202302
0.4024,0.4028,0.4023,0.4028,1196587.0,481709.2723,607,509033.0,204943.098,202302
