OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
1.509,1.513,1.506,1.513,14079.5,21246.1715,122,8358.5,12613.4007,202209
1.514,1.52,1.514,1.52,3675.3,5579.1154,29,3405.1,5169.6754,202209
1.519,1.521,1.518,1.52,5116.6,7774.2613,36,2686.9,4082.7938,202209
1.52,1.521,1.516,1.516,4863.3,7383.1816,31,2337.8,3547.2806,202209
1.515,1.515,1.514,1.514,122.8,186.0159,3,122.8,186.0159,202209
1.515,1.518,1.515,1.517,1041.4,1580.1318,14,253.2,383.8962,202209
1.518,1.518,1.509,1.509,3072.0,4653.3988,27,684.5,1038.936,202209
1.51,1.512,1.501,1.505,38058.0,57297.3643,202,25079.3,37772.532,202209
1.503,1.503,1.491,1.494,26257.4,39275.8827,232,9876.3,14790.4375,202209
1.494,1.497,1.491,1.492,7038.0,10514.8978,74,3337.2,4986.6795,202209
1.493,1.495,1.492,1.495,6229.0,9302.6293,42,3512.8,5246.5705,202209
1.495,1.501,1.494,1.501,1175.2,1759.3457,16,218.1,326.8962,202209
1.5,1.503,1.499,1.503,12215.5,18341.0319,114,3094.0,4649.0339,202209
1.503,1.503,1.5,1.5,5660.1,8499.5422,43,3437.2,5161.1927,202209
1.5,1.5,1.496,1.496,4513.2,6765.3924,55,1585.9,2378.0733,202209
1.496,1.502,1.496,1.501,5286.3,7928.1716,71,4227.3,6338.8231,202209
1.501,1.501,1.496,1.499,4635.8,6946.6357,45,3834.6,5746.1395,202209
1.499,1.5,1.497,1.497,4811.3,7209.267,79,2777.2,4160.7652,202209
1.496,1.498,1.495,1.497,5616.5,8404.0327,45,3140.7,4701.6382,202209
1.499,1.502,1.498,1.502,851.1,1276.0628,14,851.1,1276.0628,202209
1.501,1.504,1.5,1.503,2264.6,3403.8902,23,111.4,167.4342,202209
1.504,1.507,1.503,1.503,5233.4,7875.5782,51,4370.5,6577.6805,202209
1.504,1.507,1.503,1.506,5823.5,8766.0837,44,5682.1,8553.2998,202209
1.506,1.507,1.505,1.506,1509.4,2273.318,20,462.1,696.0942,202209
1.505,1.511,1.505,1.51,3480.2,5247.6942,33,2857.5,4310.0834,202209
1.51,1.512,1.509,1.511,3237.6,4891.21,29,1306.7,1974.3836,202209
1.51,1.515,1.51,1.515,4429.8,6705.1069,66,2783.7,4214.8341,202209
1.514,1.515,1.511,1.512,3891.2,5885.6644,48,737.0,1115.4697,202209
1.512,1.513,1.511,1.512,3918.3,5924.7189,21,2597.0,3927.1436,202209
1.513,1.513,1.512,1.512,2297.3,3474.2533,14,1089.3,1647.7109,202209
1.512,1.513,1.511,1.511,5277.6,7982.1011,24,3814.3,5769.6217,202209
1.511,1.511,1.508,1.508,3136.1,4734.141,21,454.3,685.3016,202209
1.508,1.508,1.507,1.507,1592.6,2400.6138,18,1525.5,2299.4941,202209
1.506,1.506,1.5,1.5,9414.1,14143.2077,53,1972.3,2959.9239,202209
1.499,1.502,1.498,1.502,5387.5,8081.9019,33,4787.6,7182.6518,202209
1.502,1.503,1.502,1.503,2285.7,3434.9973,18,1172.2,1761.4331,202209
1.503,1.503,1.502,1.502,1767.3,2654.8407,13,1098.5,1650.3031,202209
1.502,1.506,1.502,1.506,9281.5,13976.4443,34,6557.5,9874.1003,202209
1.505,1.507,1.505,1.507,271.8,409.4931,7,181.1,272.9177,202209
1.504,1.507,1.504,1.507,1118.2,1683.0166,25,1092.2,1643.9126,202209
1.508,1.508,1.507,1.508,979.8,1477.4174,13,972.6,1466.5598,202209
1.506,1.506,1.503,1.503,1327.7,1996.1724,41,522.8,786.2074,202209
1.504,1.505,1.503,1.505,1175.9,1769.2843,17,999.5,1503.8023,202209
1.503,1.504,1.502,1.502,186.2,279.757,8,103.5,155.4958,202209
1.502,1.502,1.496,1.497,7068.1,10595.9671,52,1506.3,2256.1815,202209
1.496,1.496,1.489,1.496,10026.5,14969.1179,151,6617.7,9883.8364,202209
1.496,1.498,1.493,1.498,3938.9,5889.7079,63,2723.6,4071.7213,202209
1.497,1.497,1.494,1.494,1572.3,2350.7941,16,30.0,44.8876,202209
1.495,1.496,1.494,1.496,736.7,1101.7254,12,159.3,238.2565,202209
1.497,1.499,1.495,1.496,2462.5,3684.2517,24,274.3,410.9766,202209
1.495,1.495,1.493,1.494,2396.5,3580.3967,34,336.4,502.7916,202209
1.493,1.497,1.491,1.497,1268.2,1893.3598,37,576.4,860.8888,202209
1.496,1.497,1.494,1.495,1508.8,2256.6693,18,1356.8,2029.5364,202209
1.496,1.5,1.495,1.498,4171.1,6251.7442,31,2011.2,3014.7579,202209
1.498,1.498,1.497,1.497,797.2,1193.4782,17,268.4,401.8646,202209
1.497,1.499,1.496,1.499,1616.2,2419.961,21,214.6,321.6476,202209
1.499,1.499,1.497,1.499,869.4,1302.5026,10,769.9,1153.454,202209
1.499,1.501,1.499,1.501,1750.8,2625.4432,15,1290.4,1934.9684,202209
1.5,1.501,1.5,1.501,727.6,1091.6765,9,337.8,506.8988,202209
1.501,1.501,1.498,1.499,2579.7,3866.254,21,510.1,764.3399,202209
1.498,1.499,1.496,1.496,1438.8,2155.7761,15,565.1,847.0473,202209
1.498,1.502,1.497,1.497,7738.0,11602.1593,44,3353.0,5028.2676,202209
1.498,1.503,1.498,1.503,2483.2,3728.1165,41,1067.3,1603.3361,202209
1.504,1.505,1.502,1.504,2075.3,3120.4545,35,880.7,1324.1941,202209
1.503,1.506,1.502,1.505,6191.7,9311.5114,35,2815.3,4236.0321,202209
1.506,1.506,1.504,1.505,1424.9,2144.4915,16,810.0,1219.0749,202209
1.505,1.505,1.501,1.502,6514.9,9794.2448,38,717.6,1078.0483,202209
1.501,1.503,1.501,1.503,1232.2,1851.8622,7,1165.0,1750.995,202209
1.502,1.504,1.502,1.504,1816.9,2731.1118,15,1424.6,2141.6716,202209
1.503,1.504,1.499,1.499,3115.5,4678.9289,21,1036.5,1556.6169,202209
1.496,1.5,1.496,1.5,321.1,480.8087,11,234.2,350.5384,202209
1.498,1.499,1.496,1.498,475.3,711.6638,10,409.1,612.5057,202209
1.498,1.5,1.498,1.499,5514.9,8263.5951,32,4487.5,6723.0896,202209
1.498,1.501,1.496,1.501,14396.5,21570.9614,50,6461.3,9685.2759,202209
1.5,1.5,1.498,1.499,6113.6,9165.2358,43,4110.0,6162.0351,202209
1.498,1.498,1.495,1.496,4671.6,6995.341,37,3682.6,5515.0106,202209
1.495,1.497,1.495,1.497,456.1,682.217,16,437.3,654.0922,202209
1.494,1.497,1.493,1.496,2072.1,3100.9407,16,1429.5,2139.8328,202209
1.498,1.498,1.494,1.494,3276.3,4900.5258,36,1149.5,1717.676,202209
1.496,1.496,1.49,1.491,3666.5,5472.5178,63,827.0,1235.0667,202209
