OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
27.52,27.52,27.47,27.5,190.75608,5242.1941057,38,13.769,378.5756978,202001
27.49,27.49,27.47,27.49,16.16627,444.2901988,10,6.71058,184.4738442,202001
27.49,27.49,27.46,27.46,60.00781,1648.5872348,25,10.69468,293.8000793,202001
27.45,27.46,27.39,27.4,134.15654,3679.6254351,40,20.90547,573.6453674,202001
27.39,27.4,27.39,27.4,6.92559,189.7162266,6,2.43165,66.62721,202001
27.4,27.43,27.39,27.4,79.87038,2189.7004044,36,41.518,1138.3354721,202001
27.4,27.44,27.39,27.44,42.35628,1161.0953159,19,22.99662,630.7685918,202001
27.43,27.43,27.4,27.41,38.5842,1057.8387919,15,17.64159,483.8556537,202001
27.42,27.43,27.42,27.42,7.07902,194.1107386,4,0.40102,10.9999786,202001
27.43,27.43,27.43,27.43,2.07761,56.9888423,3,2.07761,56.9888423,202001
27.43,27.43,27.43,27.43,0.0,0.0,0,0.0,0.0,202001
27.42,27.44,27.4,27.43,85.91188,2356.0637763,33,58.34047,1600.1960357,202001
27.41,27.41,27.37,27.39,81.81091,2241.1705132,27,11.69317,320.2985146,202001
27.4,27.42,27.4,27.42,3.41374,93.5725621,6,3.41374,93.5725621,202001
27.43,27.44,27.43,27.44,9.06057,248.5546484,8,9.06057,248.5546484,202001
27.43,27.44,27.43,27.44,13.20615,362.3046766,6,5.99821,164.5908824,202001
27.45,27.45,27.44,27.45,41.03424,1126.3263091,23,33.94802,931.873149,202001
27.45,27.53,27.44,27.52,146.35791,4021.9482369,73,69.13027,1901.0180727,202001
27.52,27.56,27.52,27.54,67.90557,1870.3701362,38,66.45394,1830.3849892,202001
27.54,27.54,27.49,27.52,209.09038,5754.2681635,51,165.71219,4561.2136745,202001
27.52,27.54,27.52,27.53,152.16845,4188.5588809,30,129.75812,3571.6661461,202001
27.54,27.54,27.54,27.54,14.5534,400.800636,8,4.07788,112.3048152,202001
27.54,27.64,27.54,27.6,1271.9614,35096.9015245,380,617.86481,17051.8218124,202001
27.6,27.71,27.59,27.67,401.17646,11083.6919134,150,63.654,1759.1937091,202001
27.68,27.7,27.64,27.66,242.76741,6717.0332942,129,38.61683,1068.7405847,202001
27.67,27.73,27.65,27.71,192.19633,5321.5284539,91,103.16733,2858.5700314,202001
27.72,27.73,27.7,27.73,127.0666,3522.7085893,33,121.66812,3373.1094937,202001
27.73,27.73,27.71,27.71,35.88286,994.8401146,15,33.2012,920.5244594,202001
27.71,27.73,27.71,27.73,148.78865,4125.1161321,32,118.26447,3279.2430443,202001
27.73,27.79,27.72,27.78,175.76348,4877.0339311,41,109.7901,3045.1015662,202001
27.79,27.81,27.78,27.8,88.39953,2456.9011742,47,6.37872,177.2996288,202001
27.8,27.8,27.77,27.77,32.87273,913.4455323,12,7.47607,207.6604639,202001
27.79,27.79,27.74,27.77,150.3774,4173.6617996,50,49.60944,1377.3973112,202001
27.77,27.77,27.7,27.7,166.94855,4631.5638046,70,89.17487,2474.9671436,202001
27.71,27.72,27.66,27.72,424.61495,11753.5759617,90,110.0278,3047.7462795,202001
27.71,27.72,27.7,27.71,12.12533,336.0689602,8,8.62087,238.9705164,202001
27.71,27.71,27.66,27.67,47.62363,1318.8109834,28,14.09952,390.563226,202001
27.67,27.7,27.66,27.66,263.72035,7297.1303479,63,71.71519,1985.5540897,202001
27.66,27.67,27.56,27.61,340.76305,9406.9796492,140,133.85895,3695.3610678,202001
27.61,27.61,27.59,27.59,24.14269,666.3498663,18,2.17876,60.1555636,202001
27.62,27.69,27.62,27.69,85.48129,2364.0153011,45,43.55181,1204.3405782,202001
27.68,27.7,27.68,27.7,36.08954,999.008249,19,6.81287,188.6300234,202001
27.7,27.71,27.7,27.71,7.53177,208.7053439,6,0.00028,0.007756,202001
27.71,27.71,27.67,27.69,25.27961,699.8458238,23,0.52726,14.5998294,202001
27.67,27.67,27.64,27.64,32.19132,890.6546091,23,2.5144,69.52316,202001
27.64,27.66,27.64,27.65,29.72434,821.8671313,23,9.96155,275.5075477,202001
27.65,27.65,27.58,27.59,94.20627,2600.8558226,28,18.39719,507.9828713,202001
27.61,27.69,27.61,27.66,177.95051,4922.0118302,35,151.34415,4186.2705519,202001
27.66,27.66,27.65,27.65,9.05749,250.5269723,5,0.0,0.0,202001
27.65,27.65,27.65,27.65,3.53404,97.716206,3,2.16787,59.9416055,202001
27.65,27.65,27.65,27.65,0.722,19.9633,1,0.0,0.0,202001
27.65,27.65,27.64,27.64,1.68456,46.5612464,3,1.68376,46.5391264,202001
27.63,27.63,27.63,27.63,0.72358,19.9925154,1,0.0,0.0,202001
27.63,27.64,27.63,27.64,6.53458,180.6085554,4,6.53458,180.6085554,202001
27.62,27.67,27.62,27.67,18.97202,524.0577694,6,0.72385,20.007214,202001
27.67,27.67,27.67,27.67,0.0,0.0,0,0.0,0.0,202001
27.67,27.67,27.66,27.66,4.04028,111.7541476,5,0.0,0.0,202001
27.67,27.67,27.67,27.67,2.16682,59.9559094,2,2.16682,59.9559094,202001
27.67,27.67,27.64,27.66,18.38516,508.1947763,6,0.87855,24.3048399,202001
27.65,27.65,27.62,27.63,14.72624,406.8699142,8,5.723,158.12649,202001
27.63,27.63,27.63,27.63,11.36553,314.0295939,6,11.36553,314.0295939,202001
27.64,27.64,27.64,27.64,0.723,19.98372,1,0.0,0.0,202001
